ticker,company_role,event_type,direction,confidence,materiality,novelty,source_type,published_date,source_url,event_cluster_id,human_review_required,score_deltas,raw_text
PLRX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT06097260,4545b8beae56,False,"{'asset_quality': -0.3533245625, 'seller_willingness': 0.0756861}","PLRX Phase 2 trial discontinued terminated withdrawn Randomized, Double-blind Study of Efficacy and Safety of Bexotegrast (PLN-74809) for Idiopathic Pulmonary Fibrosis NCT06097260"
ANAB,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05366855,fb322094ddc3,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",ANAB Phase 3 trial discontinued terminated withdrawn Study to Evaluate the Long-Term Safety and Efficacy of Imsidolimab (ANB019) in the Treatment of Subjects With GPP NCT05366855
ANAB,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04697069,9d71bb17abed,False,"{'asset_quality': -0.3533245625, 'seller_willingness': 0.0756861}",ANAB Phase 2 trial discontinued terminated withdrawn A Study to Evaluate of the Efficacy and Safety of Imsidolimab (ANB019) in the Treatment of Acneiform Rash NCT04697069
ANAB,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04697056,9d71bb17abed,False,"{'asset_quality': -0.3533245625, 'seller_willingness': 0.0756861}",ANAB Phase 2 trial discontinued terminated withdrawn A Study to Evaluate the Efficacy and Safety of Imsidolimab (ANB019) in the Treatment of Participants With Ichthyosis NCT04697056
GPCR,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT00461266,2760dadb69e6,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",GPCR Phase 4 trial discontinued terminated withdrawn ESP Study: A Study to Assess the Effect of Adding Fuzeon (Enfuvirtide) to an Antiretroviral Regimen in Fuzeon-Naive Patients With Sustained HIV Vir
GPCR,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01619410,2760dadb69e6,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",GPCR NA trial discontinued terminated withdrawn Asymptomatic Colonization With S. Aureus After Therapy With Linezolid or Clindamycin for Acute Skin Infections NCT01619410
ACRS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05791474,828ed618f96c,False,"{'asset_quality': -0.24671525, 'seller_willingness': 0.11499999999999999}",ACRS Phase 1 trial discontinued terminated withdrawn ATI-2231 in Advanced Solid Tumor Malignancies NCT05791474
CNTA,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT06597656,589c7f05ca52,False,"{'asset_quality': -0.32072982499999997, 'seller_willingness': 0.06899999999999999}",CNTA Phase 1 trial discontinued terminated withdrawn A Gene Transfer Therapy to Evaluate the Safety and Efficacy of Delandistrogene Moxeparvovec (SRP-9001) Following Therapeutic Plasma Exchange (Plasm
CNTA,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT06241950,589c7f05ca52,False,"{'asset_quality': -0.32072982499999997, 'seller_willingness': 0.06899999999999999}",CNTA Phase 1 trial discontinued terminated withdrawn A Gene Transfer Therapy Study to Evaluate the Safety and Efficacy of Delandistrogene Moxeparvovec (SRP-9001) Following Imlifidase Infusion in Parti
PFE,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02385500,3c162e241e91,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",PFE Phase 4 trial discontinued terminated withdrawn Fesoterodine on Urgency Episodes in Parkinson's Disease Population NCT02385500
PFE,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04777383,3c162e241e91,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",PFE NA trial discontinued terminated withdrawn The Effects of Iontophoresed Vasoactive Drugs on Cutaneus Blood Flow NCT04777383
MRK,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01052311,2d2cefa9567d,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",MRK Phase 4 trial discontinued terminated withdrawn The Impact of Tredaptive on Flow-Mediated Dilation in Cardiac Patients NCT01052311
BMY,acquirer,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01482286,3828605a9278,True,"{'asset_quality': -0.2875, 'seller_willingness': 0.137287}",BMY Phase 3 trial discontinued terminated withdrawn Effect of Weight and Insulin Sensitivity on Reproductive Function in PCOS NCT01482286
AMGN,acquirer,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02352753,420c90907d5d,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}","AMGN Phase 3 trial discontinued terminated withdrawn Multicenter,Single-arm Study to Evaluate Efficacy, Safety, & Pharmacokinetics of Denosumab in Children w/ OI NCT02352753"
AMGN,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT01865630,a0e111787b3a,False,"{'asset_quality': -0.32072982499999997, 'seller_willingness': 0.06899999999999999}",AMGN Phase 1 trial discontinued terminated withdrawn Safety and Efficacy Study of Etanercept for Aneurysmal Subarachnoid Hemorrhage NCT01865630
GILD,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03472326,a0d1d030b953,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",GILD Phase 2 trial discontinued terminated withdrawn Study to Evaluate the Efficacy of GS-9131 Functional Monotherapy in Human Immunodeficiency Virus (HIV)-1-Infected Adults Failing a Nucleos(t)Ide Re
GILD,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02556333,a0d1d030b953,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",GILD Phase 2 trial discontinued terminated withdrawn Emtricitabine/Tenofovir Alafenamide as Salvage ART NCT02556333
REGN,acquirer,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04790786,fb6ada2cdc7a,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}","REGN Phase 4 trial discontinued terminated withdrawn UPMC OPTIMISE-C19 Trial, a COVID-19 Study NCT04790786"
VRTX,acquirer,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03464019,f3e47d3e68db,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",VRTX Phase 3 trial discontinued terminated withdrawn Efficacy and Safety of Etripamil for the Termination of Spontaneous Paroxysmal Supraventricular Tachycardia (PSVT). NCT03464019
